date,lang,label_GR,v2_NWO,counts,platform
2016-09-09,eng,0,0,24,4chan
2016-09-09,eng,0,1,4,4chan
2016-09-09,eng,1,0,4,4chan
2016-09-10,eng,0,0,31,4chan
2016-09-10,eng,0,1,5,4chan
2016-09-10,eng,1,0,3,4chan
2016-09-11,eng,0,0,63,4chan
2016-09-11,eng,0,1,8,4chan
2016-09-11,eng,1,0,3,4chan
2016-09-11,eng,1,1,1,4chan
2016-09-12,eng,0,0,50,4chan
2016-09-12,eng,0,1,6,4chan
2016-09-12,eng,1,0,4,4chan
2016-09-13,eng,0,0,58,4chan
2016-09-13,eng,0,1,8,4chan
2016-09-13,eng,1,0,4,4chan
2016-09-14,eng,0,0,48,4chan
2016-09-14,eng,0,1,7,4chan
2016-09-14,eng,1,0,1,4chan
2016-09-15,eng,0,0,45,4chan
2016-09-15,eng,0,1,8,4chan
2016-09-15,eng,1,0,4,4chan
2016-09-16,eng,0,0,18,4chan
2016-09-16,eng,0,1,5,4chan
2016-09-16,eng,1,0,4,4chan
2016-09-16,eng,1,1,1,4chan
2016-09-17,eng,0,0,44,4chan
2016-09-17,eng,0,1,6,4chan
2016-09-17,eng,1,0,3,4chan
2016-09-17,eng,1,1,1,4chan
2016-09-18,eng,0,0,170,4chan
2016-09-18,eng,0,1,15,4chan
2016-09-18,eng,1,0,18,4chan
2016-09-19,eng,0,0,95,4chan
2016-09-19,eng,0,1,7,4chan
2016-09-19,eng,1,0,8,4chan
2016-09-19,eng,1,1,1,4chan
2016-09-20,eng,0,0,48,4chan
2016-09-20,eng,0,1,6,4chan
2016-09-20,eng,1,0,5,4chan
2016-09-21,eng,0,0,68,4chan
2016-09-21,eng,0,1,7,4chan
2016-09-21,eng,1,0,4,4chan
2016-09-22,eng,0,0,67,4chan
2016-09-22,eng,0,1,3,4chan
2016-09-22,eng,1,0,3,4chan
2016-09-22,eng,1,1,1,4chan
2016-09-23,eng,0,0,45,4chan
2016-09-23,eng,0,1,4,4chan
2016-09-23,eng,1,0,2,4chan
2016-09-23,eng,1,1,1,4chan
2016-09-24,eng,0,0,65,4chan
2016-09-24,eng,0,1,7,4chan
2016-09-24,eng,1,0,4,4chan
2016-09-24,eng,1,1,1,4chan
2016-09-25,eng,0,0,54,4chan
2016-09-25,eng,0,1,11,4chan
2016-09-25,eng,1,0,7,4chan
2016-09-25,eng,1,1,1,4chan
2016-09-26,eng,0,0,63,4chan
2016-09-26,eng,0,1,6,4chan
2016-09-26,eng,1,0,3,4chan
2016-09-26,eng,1,1,2,4chan
2016-09-27,eng,0,0,59,4chan
2016-09-27,eng,0,1,9,4chan
2016-09-27,eng,1,0,4,4chan
2016-09-28,eng,0,0,59,4chan
2016-09-28,eng,0,1,7,4chan
2016-09-28,eng,1,0,4,4chan
2016-09-28,eng,1,1,1,4chan
2016-09-29,eng,0,0,45,4chan
2016-09-29,eng,0,1,12,4chan
2016-09-29,eng,1,0,3,4chan
2016-09-30,eng,0,0,61,4chan
2016-09-30,eng,0,1,7,4chan
2016-09-30,eng,1,0,4,4chan
2016-10-01,eng,0,0,39,4chan
2016-10-01,eng,0,1,2,4chan
2016-10-01,eng,1,0,4,4chan
2016-10-01,eng,1,1,1,4chan
2016-10-02,eng,0,0,70,4chan
2016-10-02,eng,0,1,4,4chan
2016-10-02,eng,1,0,3,4chan
2016-10-03,eng,0,0,68,4chan
2016-10-03,eng,0,1,8,4chan
2016-10-03,eng,1,0,9,4chan
2016-10-04,eng,0,0,35,4chan
2016-10-04,eng,0,1,3,4chan
2016-10-04,eng,1,0,3,4chan
2016-10-04,eng,1,1,1,4chan
2016-10-05,eng,0,0,46,4chan
2016-10-05,eng,0,1,8,4chan
2016-10-05,eng,1,0,4,4chan
2016-10-06,eng,0,0,57,4chan
2016-10-06,eng,0,1,2,4chan
2016-10-06,eng,1,0,3,4chan
2016-10-07,eng,0,0,43,4chan
2016-10-07,eng,0,1,5,4chan
2016-10-08,eng,0,0,40,4chan
2016-10-08,eng,0,1,5,4chan
2016-10-08,eng,1,0,2,4chan
2016-10-09,eng,0,0,31,4chan
2016-10-09,eng,0,1,1,4chan
2016-10-09,eng,1,0,2,4chan
2016-10-10,eng,0,0,47,4chan
2016-10-10,eng,0,1,4,4chan
2016-10-10,eng,1,0,5,4chan
2016-10-11,eng,0,0,32,4chan
2016-10-11,eng,0,1,5,4chan
2016-10-11,eng,1,0,2,4chan
2016-10-12,eng,0,0,47,4chan
2016-10-12,eng,0,1,7,4chan
2016-10-12,eng,1,0,2,4chan
2016-10-13,eng,0,0,137,4chan
2016-10-13,eng,0,1,5,4chan
2016-10-13,eng,1,0,2,4chan
2016-10-14,eng,0,0,81,4chan
2016-10-14,eng,0,1,4,4chan
2016-10-14,eng,1,0,8,4chan
2016-10-15,eng,0,0,84,4chan
2016-10-15,eng,0,1,1,4chan
2016-10-15,eng,1,0,3,4chan
2016-10-16,eng,0,0,170,4chan
2016-10-16,eng,0,1,10,4chan
2016-10-16,eng,1,0,2,4chan
2016-10-16,eng,1,1,1,4chan
2016-10-17,eng,0,0,241,4chan
2016-10-17,eng,0,1,17,4chan
2016-10-17,eng,1,0,3,4chan
2016-10-17,eng,1,1,1,4chan
2016-10-18,eng,0,0,72,4chan
2016-10-18,eng,0,1,6,4chan
2016-10-18,eng,1,1,1,4chan
2016-10-19,eng,0,0,67,4chan
2016-10-19,eng,0,1,11,4chan
2016-10-19,eng,1,0,2,4chan
2016-10-20,eng,0,0,45,4chan
2016-10-20,eng,0,1,4,4chan
2016-10-20,eng,1,0,2,4chan
2016-10-21,eng,0,0,165,4chan
2016-10-21,eng,0,1,13,4chan
2016-10-21,eng,1,0,1,4chan
2016-10-22,eng,0,0,82,4chan
2016-10-22,eng,0,1,6,4chan
2016-10-22,eng,1,0,1,4chan
2016-10-22,eng,1,1,1,4chan
2016-10-23,eng,0,0,37,4chan
2016-10-23,eng,0,1,5,4chan
2016-10-23,eng,1,0,3,4chan
2016-10-24,eng,0,0,34,4chan
2016-10-24,eng,0,1,4,4chan
2016-10-24,eng,1,0,4,4chan
2016-10-25,eng,0,0,46,4chan
2016-10-25,eng,0,1,1,4chan
2016-10-26,eng,0,0,40,4chan
2016-10-26,eng,0,1,5,4chan
2016-10-26,eng,1,0,1,4chan
2016-10-27,eng,0,0,37,4chan
2016-10-27,eng,0,1,2,4chan
2016-10-28,eng,0,0,120,4chan
2016-10-28,eng,0,1,6,4chan
2016-10-28,eng,1,0,3,4chan
2016-10-29,eng,0,0,66,4chan
2016-10-29,eng,0,1,5,4chan
2016-10-29,eng,1,0,3,4chan
2016-10-30,eng,0,0,78,4chan
2016-10-30,eng,0,1,4,4chan
2016-10-30,eng,1,0,4,4chan
2016-10-30,eng,1,1,1,4chan
2016-10-31,eng,0,0,43,4chan
2016-10-31,eng,0,1,5,4chan
2016-11-01,eng,0,0,80,4chan
2016-11-01,eng,0,1,8,4chan
2016-11-01,eng,1,0,3,4chan
2016-11-02,eng,0,0,315,4chan
2016-11-02,eng,0,1,17,4chan
2016-11-02,eng,1,0,11,4chan
2016-11-03,eng,0,0,112,4chan
2016-11-03,eng,0,1,8,4chan
2016-11-03,eng,1,0,5,4chan
2016-11-04,eng,0,0,103,4chan
2016-11-04,eng,0,1,4,4chan
2016-11-04,eng,1,0,5,4chan
2016-11-05,eng,0,0,106,4chan
2016-11-05,eng,0,1,4,4chan
2016-11-05,eng,1,0,3,4chan
2016-11-06,eng,0,0,204,4chan
2016-11-06,eng,0,1,14,4chan
2016-11-06,eng,1,0,3,4chan
2016-11-07,eng,0,0,97,4chan
2016-11-07,eng,0,1,11,4chan
2016-11-07,eng,1,0,4,4chan
2016-11-07,eng,1,1,1,4chan
2016-11-08,eng,0,0,61,4chan
2016-11-08,eng,0,1,3,4chan
2016-11-08,eng,1,0,3,4chan
2016-11-09,eng,0,0,65,4chan
2016-11-09,eng,0,1,7,4chan
2016-11-09,eng,1,0,4,4chan
2016-11-10,eng,0,0,113,4chan
2016-11-10,eng,0,1,16,4chan
2016-11-10,eng,1,0,11,4chan
2016-11-11,eng,0,0,94,4chan
2016-11-11,eng,0,1,7,4chan
2016-11-11,eng,1,0,11,4chan
2016-11-12,eng,0,0,81,4chan
2016-11-12,eng,0,1,114,4chan
2016-11-12,eng,1,0,6,4chan
2016-11-12,eng,1,1,2,4chan
2016-11-13,eng,0,0,82,4chan
2016-11-13,eng,0,1,67,4chan
2016-11-13,eng,1,0,16,4chan
2016-11-13,eng,1,1,4,4chan
2016-11-14,eng,0,0,65,4chan
2016-11-14,eng,0,1,16,4chan
2016-11-14,eng,1,0,5,4chan
2016-11-14,eng,1,1,1,4chan
2016-11-15,eng,0,0,114,4chan
2016-11-15,eng,0,1,17,4chan
2016-11-15,eng,1,0,8,4chan
2016-11-16,eng,0,0,59,4chan
2016-11-16,eng,0,1,7,4chan
2016-11-16,eng,1,0,11,4chan
