date,lang,label_GR,v2_NWO,counts,platform
2010-12-01,ger,1,0,1,altnews
2011-03-01,ger,0,0,4,altnews
2011-03-01,ger,1,0,2,altnews
2011-03-01,ger,1,1,1,altnews
2011-05-01,ger,0,0,4,altnews
2011-05-01,ger,1,0,1,altnews
2011-06-01,ger,0,0,1,altnews
2011-07-01,ger,0,0,3,altnews
2011-07-01,ger,0,1,2,altnews
2011-08-01,ger,0,0,2,altnews
2011-08-01,ger,0,1,2,altnews
2011-09-01,ger,0,0,3,altnews
2011-09-01,ger,1,0,3,altnews
2011-10-01,ger,0,0,5,altnews
2011-10-01,ger,1,0,1,altnews
2011-11-01,ger,0,0,4,altnews
2011-12-01,ger,0,0,4,altnews
2011-12-01,ger,1,1,1,altnews
2012-01-01,ger,0,0,3,altnews
2012-01-01,ger,0,1,1,altnews
2012-01-01,ger,1,0,1,altnews
2012-02-01,ger,0,0,3,altnews
2012-02-01,ger,1,0,1,altnews
2012-03-01,ger,0,0,2,altnews
2012-04-01,ger,0,0,2,altnews
2012-04-01,ger,0,1,1,altnews
2012-04-01,ger,1,0,2,altnews
2012-05-01,ger,0,0,9,altnews
2012-05-01,ger,1,0,1,altnews
2012-06-01,ger,0,0,5,altnews
2012-06-01,ger,1,0,1,altnews
2012-07-01,ger,0,0,16,altnews
2012-07-01,ger,0,1,4,altnews
2012-07-01,ger,1,0,2,altnews
2012-08-01,ger,0,0,2,altnews
2012-08-01,ger,1,0,2,altnews
2012-09-01,ger,0,0,5,altnews
2012-09-01,ger,0,1,1,altnews
2012-10-01,ger,0,0,5,altnews
2012-10-01,ger,0,1,1,altnews
2012-10-01,ger,1,0,1,altnews
2012-11-01,ger,0,0,8,altnews
2012-11-01,ger,1,0,1,altnews
2012-12-01,ger,0,0,12,altnews
2012-12-01,ger,0,1,1,altnews
2012-12-01,ger,1,0,4,altnews
2013-01-01,ger,0,0,5,altnews
2013-01-01,ger,1,0,1,altnews
2013-02-01,ger,0,0,14,altnews
2013-02-01,ger,0,1,1,altnews
2013-02-01,ger,1,0,4,altnews
2013-03-01,ger,0,0,5,altnews
2013-03-01,ger,0,1,1,altnews
2013-04-01,ger,0,0,5,altnews
2013-04-01,ger,1,0,2,altnews
2013-04-01,ger,1,1,1,altnews
2013-05-01,ger,0,0,4,altnews
2013-05-01,ger,0,1,2,altnews
2013-06-01,ger,0,0,1,altnews
2013-06-01,ger,1,0,1,altnews
2013-07-01,ger,0,0,17,altnews
2013-07-01,ger,0,1,1,altnews
2013-07-01,ger,1,0,5,altnews
2013-08-01,ger,0,0,5,altnews
2013-08-01,ger,1,0,4,altnews
2013-09-01,ger,0,0,3,altnews
2013-09-01,ger,0,1,1,altnews
2013-09-01,ger,1,0,2,altnews
2013-10-01,ger,0,0,6,altnews
2013-10-01,ger,1,0,2,altnews
2013-11-01,ger,0,0,3,altnews
2013-11-01,ger,1,0,1,altnews
2013-12-01,ger,0,0,5,altnews
2013-12-01,ger,1,0,2,altnews
2014-01-01,ger,0,0,4,altnews
2014-01-01,ger,0,1,1,altnews
2014-01-01,ger,1,0,1,altnews
2014-02-01,ger,0,0,1,altnews
2014-02-01,ger,0,1,2,altnews
2014-02-01,ger,1,0,1,altnews
2014-03-01,ger,0,0,6,altnews
2014-03-01,ger,1,0,4,altnews
2014-04-01,ger,0,0,5,altnews
2014-04-01,ger,0,1,1,altnews
2014-04-01,ger,1,0,2,altnews
2014-05-01,ger,0,0,17,altnews
2014-05-01,ger,1,0,5,altnews
2014-06-01,ger,0,0,3,altnews
2014-06-01,ger,1,0,1,altnews
2014-07-01,ger,0,0,3,altnews
2014-07-01,ger,0,1,1,altnews
2014-08-01,ger,0,0,16,altnews
2014-08-01,ger,1,0,4,altnews
2014-08-01,ger,1,1,1,altnews
2014-09-01,ger,0,0,3,altnews
2014-09-01,ger,1,1,1,altnews
2014-10-01,ger,0,0,9,altnews
2014-10-01,ger,1,0,1,altnews
2014-10-01,ger,1,1,1,altnews
2014-11-01,ger,0,0,1,altnews
2014-11-01,ger,1,0,5,altnews
2014-12-01,ger,0,0,4,altnews
2014-12-01,ger,0,1,1,altnews
2014-12-01,ger,1,0,6,altnews
2015-01-01,ger,0,0,7,altnews
2015-01-01,ger,1,0,7,altnews
2015-02-01,ger,0,0,7,altnews
2015-02-01,ger,1,0,6,altnews
2015-02-01,ger,1,1,1,altnews
2015-03-01,ger,0,0,10,altnews
2015-03-01,ger,0,1,1,altnews
2015-03-01,ger,1,0,11,altnews
2015-04-01,ger,0,0,12,altnews
2015-04-01,ger,1,0,9,altnews
2015-05-01,ger,0,0,13,altnews
2015-05-01,ger,0,1,1,altnews
2015-05-01,ger,1,0,8,altnews
2015-06-01,ger,0,0,4,altnews
2015-06-01,ger,1,0,4,altnews
2015-07-01,ger,0,0,12,altnews
2015-07-01,ger,0,1,1,altnews
2015-07-01,ger,1,0,16,altnews
2015-08-01,ger,0,0,2,altnews
2015-08-01,ger,0,1,1,altnews
2015-08-01,ger,1,0,5,altnews
2015-09-01,ger,0,0,9,altnews
2015-09-01,ger,0,1,2,altnews
2015-09-01,ger,1,0,10,altnews
2015-09-01,ger,1,1,1,altnews
2015-10-01,ger,0,0,10,altnews
2015-10-01,ger,0,1,1,altnews
2015-10-01,ger,1,0,17,altnews
2015-10-01,ger,1,1,1,altnews
2015-11-01,ger,0,0,5,altnews
2015-11-01,ger,1,0,9,altnews
2015-12-01,ger,0,0,2,altnews
2015-12-01,ger,0,1,3,altnews
2015-12-01,ger,1,0,9,altnews
2015-12-01,ger,1,1,1,altnews
2016-01-01,ger,0,0,4,altnews
2016-01-01,ger,1,0,9,altnews
2016-02-01,ger,0,0,4,altnews
2016-02-01,ger,0,1,1,altnews
2016-02-01,ger,1,0,26,altnews
2016-03-01,ger,0,0,5,altnews
2016-03-01,ger,0,1,1,altnews
2016-03-01,ger,1,0,11,altnews
2016-03-01,ger,1,1,1,altnews
2016-04-01,ger,0,0,1,altnews
2016-04-01,ger,0,1,2,altnews
2016-04-01,ger,1,0,9,altnews
2016-05-01,ger,0,0,11,altnews
2016-05-01,ger,0,1,1,altnews
2016-05-01,ger,1,0,25,altnews
2016-06-01,ger,0,0,6,altnews
2016-06-01,ger,1,0,5,altnews
2016-06-01,ger,1,1,1,altnews
2016-07-01,ger,0,0,12,altnews
2016-07-01,ger,0,1,2,altnews
2016-07-01,ger,1,0,15,altnews
2016-08-01,ger,0,0,12,altnews
2016-08-01,ger,1,0,7,altnews
2016-09-01,ger,0,0,3,altnews
2016-09-01,ger,1,0,8,altnews
2016-10-01,ger,0,0,3,altnews
2016-10-01,ger,1,0,15,altnews
2016-11-01,ger,0,0,15,altnews
2016-11-01,ger,1,0,12,altnews
2016-12-01,ger,0,0,11,altnews
2016-12-01,ger,0,1,2,altnews
2016-12-01,ger,1,0,17,altnews
2016-12-01,ger,1,1,1,altnews
2017-01-01,ger,0,0,3,altnews
2017-01-01,ger,0,1,2,altnews
2017-01-01,ger,1,0,6,altnews
2017-01-01,ger,1,1,1,altnews
2017-02-01,ger,0,0,9,altnews
2017-02-01,ger,0,1,2,altnews
2017-02-01,ger,1,0,16,altnews
2017-03-01,ger,0,0,4,altnews
2017-03-01,ger,0,1,1,altnews
2017-03-01,ger,1,0,4,altnews
2017-04-01,ger,0,0,1,altnews
2017-04-01,ger,1,0,4,altnews
2017-04-01,ger,1,1,1,altnews
2017-05-01,ger,0,0,5,altnews
2017-05-01,ger,0,1,1,altnews
2017-05-01,ger,1,0,7,altnews
2017-06-01,ger,0,0,5,altnews
2017-06-01,ger,0,1,1,altnews
2017-06-01,ger,1,0,9,altnews
2017-06-01,ger,1,1,3,altnews
2017-07-01,ger,0,0,6,altnews
2017-07-01,ger,0,1,2,altnews
2017-07-01,ger,1,0,18,altnews
2017-07-01,ger,1,1,2,altnews
2017-08-01,ger,0,0,10,altnews
2017-08-01,ger,0,1,2,altnews
2017-08-01,ger,1,0,15,altnews
2017-09-01,ger,0,0,7,altnews
2017-09-01,ger,1,0,6,altnews
2017-10-01,ger,0,0,9,altnews
2017-10-01,ger,0,1,1,altnews
2017-10-01,ger,1,0,5,altnews
2017-11-01,ger,0,0,4,altnews
2017-11-01,ger,1,0,6,altnews
2017-11-01,ger,1,1,2,altnews
2017-12-01,ger,0,0,5,altnews
2017-12-01,ger,1,0,5,altnews
2017-12-01,ger,1,1,1,altnews
2018-01-01,ger,0,0,6,altnews
2018-01-01,ger,1,0,7,altnews
2018-01-01,ger,1,1,1,altnews
2018-02-01,ger,0,0,5,altnews
2018-02-01,ger,1,0,5,altnews
2018-03-01,ger,0,0,9,altnews
2018-03-01,ger,0,1,2,altnews
2018-03-01,ger,1,0,6,altnews
2018-04-01,ger,0,0,3,altnews
2018-04-01,ger,1,0,4,altnews
2018-05-01,ger,0,0,5,altnews
2018-05-01,ger,1,0,4,altnews
2018-06-01,ger,0,0,5,altnews
2018-06-01,ger,1,0,4,altnews
2018-06-01,ger,1,1,4,altnews
2018-07-01,ger,0,0,3,altnews
2018-07-01,ger,0,1,1,altnews
2018-07-01,ger,1,0,5,altnews
2018-07-01,ger,1,1,1,altnews
2018-08-01,ger,1,0,5,altnews
2018-09-01,ger,0,0,2,altnews
2018-09-01,ger,1,0,3,altnews
2018-10-01,ger,0,0,6,altnews
2018-10-01,ger,1,0,6,altnews
2018-10-01,ger,1,1,1,altnews
2018-11-01,ger,0,0,6,altnews
2018-11-01,ger,1,0,11,altnews
2018-11-01,ger,1,1,1,altnews
2018-12-01,ger,0,0,9,altnews
2018-12-01,ger,0,1,1,altnews
2018-12-01,ger,1,0,7,altnews
2018-12-01,ger,1,1,2,altnews
2019-01-01,ger,0,0,5,altnews
2019-01-01,ger,0,1,3,altnews
2019-01-01,ger,1,0,3,altnews
2019-01-01,ger,1,1,1,altnews
2019-02-01,ger,0,0,8,altnews
2019-02-01,ger,0,1,2,altnews
2019-02-01,ger,1,0,4,altnews
2019-03-01,ger,0,0,3,altnews
2019-03-01,ger,1,0,5,altnews
2019-04-01,ger,0,0,11,altnews
2019-04-01,ger,0,1,2,altnews
2019-04-01,ger,1,0,6,altnews
2019-05-01,ger,0,0,3,altnews
2019-05-01,ger,0,1,1,altnews
2019-05-01,ger,1,0,9,altnews
2019-05-01,ger,1,1,1,altnews
2019-06-01,ger,0,0,7,altnews
2019-06-01,ger,0,1,2,altnews
2019-06-01,ger,1,0,3,altnews
2019-07-01,ger,0,0,2,altnews
2019-07-01,ger,0,1,1,altnews
2019-07-01,ger,1,0,6,altnews
2019-07-01,ger,1,1,1,altnews
2019-08-01,ger,0,0,4,altnews
2019-08-01,ger,0,1,1,altnews
2019-08-01,ger,1,0,4,altnews
2019-09-01,ger,0,0,5,altnews
2019-09-01,ger,1,0,4,altnews
2019-10-01,ger,0,0,8,altnews
2019-10-01,ger,0,1,2,altnews
2019-10-01,ger,1,0,6,altnews
2019-10-01,ger,1,1,2,altnews
2019-11-01,ger,0,0,15,altnews
2019-11-01,ger,0,1,3,altnews
2019-11-01,ger,1,0,5,altnews
2019-11-01,ger,1,1,1,altnews
2019-12-01,ger,0,0,9,altnews
2019-12-01,ger,1,0,8,altnews
2019-12-01,ger,1,1,1,altnews
2020-01-01,ger,0,0,5,altnews
2020-01-01,ger,0,1,1,altnews
2020-01-01,ger,1,0,3,altnews
2020-02-01,ger,0,0,7,altnews
2020-02-01,ger,1,0,3,altnews
2020-03-01,ger,0,0,3,altnews
2020-03-01,ger,0,1,1,altnews
2020-03-01,ger,1,0,4,altnews
2020-03-01,ger,1,1,1,altnews
2020-04-01,ger,0,0,3,altnews
2020-04-01,ger,0,1,1,altnews
2020-04-01,ger,1,0,5,altnews
2020-05-01,ger,0,0,14,altnews
2020-05-01,ger,0,1,4,altnews
2020-05-01,ger,1,1,1,altnews
2020-06-01,ger,0,0,17,altnews
2020-06-01,ger,0,1,5,altnews
2020-06-01,ger,1,0,4,altnews
2020-07-01,ger,0,0,7,altnews
2020-07-01,ger,1,0,5,altnews
2020-07-01,ger,1,1,1,altnews
2020-08-01,ger,0,0,4,altnews
2020-08-01,ger,1,0,3,altnews
2020-09-01,ger,0,0,3,altnews
2020-09-01,ger,0,1,1,altnews
2020-09-01,ger,1,0,5,altnews
2020-09-01,ger,1,1,1,altnews
2020-10-01,ger,0,0,15,altnews
2020-10-01,ger,1,0,6,altnews
2020-11-01,ger,0,0,7,altnews
2020-11-01,ger,1,0,4,altnews
2020-12-01,ger,0,0,7,altnews
2020-12-01,ger,1,0,4,altnews
2021-01-01,ger,0,0,12,altnews
2021-01-01,ger,0,1,2,altnews
2021-01-01,ger,1,0,5,altnews
2021-02-01,ger,0,0,6,altnews
2021-02-01,ger,0,1,1,altnews
2021-02-01,ger,1,0,1,altnews
2021-02-01,ger,1,1,1,altnews
2021-03-01,ger,0,0,11,altnews
2021-03-01,ger,0,1,1,altnews
2021-03-01,ger,1,0,3,altnews
2021-04-01,ger,0,0,18,altnews
