date,lang,label_GR,v2_NWO,counts,platform
2011-01-07,ger,0,0,1,altnews
2011-01-14,ger,1,0,2,altnews
2011-01-21,ger,1,0,2,altnews
2011-02-25,ger,1,0,2,altnews
2011-03-04,ger,1,0,1,altnews
2011-03-25,ger,1,0,1,altnews
2011-04-01,ger,0,0,1,altnews
2011-04-01,ger,1,0,2,altnews
2011-04-15,ger,0,0,1,altnews
2011-04-15,ger,1,0,3,altnews
2011-04-22,ger,1,0,1,altnews
2011-05-06,ger,0,0,1,altnews
2011-05-13,ger,0,0,1,altnews
2011-05-13,ger,0,1,1,altnews
2011-05-13,ger,1,0,1,altnews
2011-05-20,ger,0,0,1,altnews
2011-05-27,ger,1,0,1,altnews
2011-06-03,ger,0,0,2,altnews
2011-06-03,ger,0,1,1,altnews
2011-06-17,ger,0,1,1,altnews
2011-06-24,ger,0,0,2,altnews
2011-07-01,ger,0,0,1,altnews
2011-07-08,ger,1,0,1,altnews
2011-07-15,ger,1,0,1,altnews
2011-07-29,ger,1,0,1,altnews
2011-08-12,ger,0,0,1,altnews
2011-08-12,ger,1,0,1,altnews
2011-08-12,ger,1,1,1,altnews
2011-08-19,ger,0,1,1,altnews
2011-08-19,ger,1,0,1,altnews
2011-08-26,ger,1,0,1,altnews
2011-09-02,ger,0,0,1,altnews
2011-09-02,ger,1,0,1,altnews
2011-09-09,ger,0,0,1,altnews
2011-09-09,ger,1,0,3,altnews
2011-09-16,ger,1,0,2,altnews
2011-09-30,ger,0,0,1,altnews
2011-09-30,ger,1,0,1,altnews
2011-10-07,ger,0,0,1,altnews
2011-10-07,ger,1,0,1,altnews
2011-10-14,ger,0,0,4,altnews
2011-10-14,ger,1,0,1,altnews
2011-11-11,ger,1,0,2,altnews
2011-11-25,ger,1,0,1,altnews
2011-12-02,ger,1,0,1,altnews
2011-12-09,ger,0,0,1,altnews
2011-12-09,ger,1,0,1,altnews
2012-01-06,ger,1,0,1,altnews
2012-01-13,ger,1,0,1,altnews
2012-01-20,ger,0,0,2,altnews
2012-01-20,ger,1,0,1,altnews
2012-01-27,ger,0,0,1,altnews
2012-01-27,ger,1,0,2,altnews
2012-02-10,ger,0,0,1,altnews
2012-02-10,ger,1,0,1,altnews
2012-02-17,ger,0,0,1,altnews
2012-02-17,ger,1,0,1,altnews
2012-03-02,ger,0,0,1,altnews
2012-03-09,ger,1,0,1,altnews
2012-03-16,ger,1,0,3,altnews
2012-03-23,ger,0,0,1,altnews
2012-03-30,ger,1,0,1,altnews
2012-04-06,ger,1,0,1,altnews
2012-04-13,ger,1,0,2,altnews
2012-04-20,ger,1,1,1,altnews
2012-04-27,ger,0,0,1,altnews
2012-05-04,ger,1,0,2,altnews
2012-05-11,ger,0,0,1,altnews
2012-06-08,ger,0,0,1,altnews
2012-06-08,ger,0,1,2,altnews
2012-06-08,ger,1,0,1,altnews
2012-06-15,ger,1,0,1,altnews
2012-06-15,ger,1,1,1,altnews
2012-06-22,ger,0,0,2,altnews
2012-06-29,ger,0,0,2,altnews
2012-06-29,ger,1,1,1,altnews
2012-07-06,ger,0,1,1,altnews
2012-07-06,ger,1,0,1,altnews
2012-08-03,ger,1,0,2,altnews
2012-08-17,ger,1,0,2,altnews
2012-08-24,ger,0,0,1,altnews
2012-08-24,ger,1,0,1,altnews
2012-08-31,ger,1,0,1,altnews
2012-09-07,ger,1,0,2,altnews
2012-09-14,ger,1,1,1,altnews
2012-09-28,ger,0,1,1,altnews
2012-09-28,ger,1,0,2,altnews
2012-10-12,ger,0,0,1,altnews
2012-10-19,ger,0,0,1,altnews
2012-10-19,ger,1,0,2,altnews
2012-11-02,ger,0,1,1,altnews
2012-11-09,ger,0,0,2,altnews
2012-11-16,ger,0,0,1,altnews
2012-11-16,ger,1,0,1,altnews
2012-11-23,ger,1,0,2,altnews
2012-11-30,ger,0,0,1,altnews
2012-11-30,ger,1,0,1,altnews
2012-12-07,ger,1,0,2,altnews
2012-12-14,ger,1,0,1,altnews
2012-12-21,ger,1,0,2,altnews
2013-01-11,ger,0,0,1,altnews
2013-01-18,ger,0,0,1,altnews
2013-01-18,ger,1,0,1,altnews
2013-01-25,ger,0,0,1,altnews
2013-01-25,ger,1,0,3,altnews
2013-02-08,ger,1,0,1,altnews
2013-02-15,ger,1,0,2,altnews
2013-02-22,ger,1,0,3,altnews
2013-03-01,ger,1,0,3,altnews
2013-03-08,ger,0,0,1,altnews
2013-03-08,ger,1,0,1,altnews
2013-03-22,ger,0,0,1,altnews
2013-03-22,ger,1,0,2,altnews
2013-03-29,ger,1,0,2,altnews
2013-04-05,ger,1,0,1,altnews
2013-04-19,ger,0,0,1,altnews
2013-04-19,ger,0,1,1,altnews
