date,lang,label_GR,v2_NWO,counts,platform
2011-01-06,ger,0,0,3,altnews
2011-01-06,ger,1,0,1,altnews
2011-01-13,ger,0,0,3,altnews
2011-01-13,ger,1,0,3,altnews
2011-01-20,ger,1,0,3,altnews
2011-01-27,ger,0,0,3,altnews
2011-01-27,ger,1,0,1,altnews
2011-02-03,ger,0,0,1,altnews
2011-02-03,ger,1,0,1,altnews
2011-02-10,ger,1,0,1,altnews
2011-02-17,ger,0,0,4,altnews
2011-02-17,ger,1,0,1,altnews
2011-02-24,ger,0,0,5,altnews
2011-02-24,ger,1,0,1,altnews
2011-03-03,ger,0,0,4,altnews
2011-03-03,ger,1,0,1,altnews
2011-03-10,ger,0,0,1,altnews
2011-03-10,ger,0,1,1,altnews
2011-03-10,ger,1,0,1,altnews
2011-03-17,ger,0,0,2,altnews
2011-03-17,ger,1,0,2,altnews
2011-03-24,ger,0,0,1,altnews
2011-03-24,ger,1,0,2,altnews
2011-03-31,ger,0,0,2,altnews
2011-03-31,ger,1,0,1,altnews
2011-04-07,ger,0,0,2,altnews
2011-04-14,ger,0,0,3,altnews
2011-04-14,ger,1,0,3,altnews
2011-04-21,ger,0,0,1,altnews
2011-04-21,ger,1,0,2,altnews
2011-04-28,ger,0,0,1,altnews
2011-04-28,ger,1,0,1,altnews
2011-05-05,ger,1,0,2,altnews
2011-05-12,ger,0,0,1,altnews
2011-05-12,ger,0,1,1,altnews
2011-05-12,ger,1,0,4,altnews
2011-05-19,ger,0,0,3,altnews
2011-05-26,ger,0,0,1,altnews
2011-05-26,ger,1,0,2,altnews
2011-06-01,ger,0,0,3,altnews
2011-06-01,ger,1,0,1,altnews
2011-06-09,ger,0,0,2,altnews
2011-06-09,ger,0,1,1,altnews
2011-06-09,ger,1,0,1,altnews
2011-06-16,ger,0,0,2,altnews
2011-06-16,ger,1,0,1,altnews
2011-06-23,ger,0,0,1,altnews
2011-06-23,ger,1,0,2,altnews
2011-06-30,ger,1,0,2,altnews
2011-07-07,ger,0,0,1,altnews
2011-07-07,ger,0,1,1,altnews
2011-07-07,ger,1,0,1,altnews
2011-07-14,ger,0,0,1,altnews
2011-07-21,ger,0,0,2,altnews
2011-07-21,ger,1,0,1,altnews
2011-07-28,ger,0,0,3,altnews
2011-07-28,ger,0,1,1,altnews
2011-07-28,ger,1,0,3,altnews
2011-07-28,ger,1,1,1,altnews
2011-08-04,ger,0,0,4,altnews
2011-08-04,ger,1,0,5,altnews
2011-08-11,ger,0,0,2,altnews
2011-08-11,ger,1,0,5,altnews
2011-08-18,ger,0,0,4,altnews
2011-08-18,ger,1,0,3,altnews
2011-08-25,ger,0,0,2,altnews
2011-09-01,ger,0,0,2,altnews
2011-09-01,ger,1,0,2,altnews
2011-09-01,ger,1,1,1,altnews
2011-09-08,ger,0,0,3,altnews
2011-09-08,ger,0,1,1,altnews
2011-09-08,ger,1,0,1,altnews
2011-09-22,ger,0,0,3,altnews
2011-09-22,ger,1,0,2,altnews
2011-09-29,ger,0,0,3,altnews
2011-09-29,ger,1,0,2,altnews
2011-10-06,ger,0,0,3,altnews
2011-10-06,ger,1,0,3,altnews
2011-10-13,ger,0,0,2,altnews
2011-10-13,ger,1,0,3,altnews
2011-10-20,ger,0,0,1,altnews
2011-10-20,ger,0,1,1,altnews
2011-10-20,ger,1,0,3,altnews
2011-10-27,ger,0,0,2,altnews
2011-10-27,ger,1,0,4,altnews
2011-11-03,ger,0,0,2,altnews
2011-11-03,ger,1,0,1,altnews
2011-11-10,ger,0,0,2,altnews
2011-11-17,ger,0,0,1,altnews
2011-11-17,ger,1,0,2,altnews
2011-11-24,ger,0,0,3,altnews
2011-11-24,ger,1,0,2,altnews
2011-12-01,ger,0,0,2,altnews
2011-12-08,ger,0,0,3,altnews
2011-12-08,ger,1,0,1,altnews
2011-12-15,ger,0,0,2,altnews
2011-12-15,ger,0,1,1,altnews
2011-12-15,ger,1,0,1,altnews
2011-12-22,ger,0,0,3,altnews
2012-01-05,ger,0,0,3,altnews
2012-01-05,ger,1,0,1,altnews
2012-01-12,ger,0,0,3,altnews
2012-01-12,ger,1,0,4,altnews
2012-01-19,ger,0,0,3,altnews
2012-01-19,ger,1,0,2,altnews
2012-01-26,ger,0,0,2,altnews
2012-01-26,ger,1,0,1,altnews
2012-02-02,ger,1,0,2,altnews
2012-02-09,ger,0,0,1,altnews
2012-02-09,ger,1,0,3,altnews
2012-02-16,ger,0,0,2,altnews
2012-02-16,ger,1,0,2,altnews
2012-02-23,ger,0,0,2,altnews
2012-03-01,ger,1,0,4,altnews
2012-03-08,ger,0,0,4,altnews
2012-03-08,ger,1,0,1,altnews
2012-03-15,ger,0,0,2,altnews
2012-03-15,ger,1,0,2,altnews
2012-03-22,ger,0,0,1,altnews
2012-03-22,ger,1,0,2,altnews
2012-03-29,ger,0,0,1,altnews
2012-03-29,ger,1,0,2,altnews
2012-04-05,ger,0,0,4,altnews
2012-04-12,ger,0,0,3,altnews
2012-04-12,ger,1,0,1,altnews
2012-04-19,ger,0,0,1,altnews
2012-04-19,ger,1,0,2,altnews
2012-04-26,ger,0,0,2,altnews
2012-04-26,ger,1,0,4,altnews
2012-05-03,ger,0,1,1,altnews
2012-05-03,ger,1,0,2,altnews
2012-05-10,ger,1,0,4,altnews
2012-05-16,ger,0,0,2,altnews
2012-05-24,ger,0,0,6,altnews
2012-05-24,ger,1,0,3,altnews
2012-05-31,ger,1,0,2,altnews
2012-06-07,ger,0,0,1,altnews
2012-06-07,ger,1,0,4,altnews
2012-06-14,ger,0,0,1,altnews
2012-06-14,ger,1,0,2,altnews
2012-06-21,ger,0,0,1,altnews
2012-06-21,ger,1,0,4,altnews
2012-06-28,ger,0,0,5,altnews
2012-06-28,ger,1,0,1,altnews
2012-07-05,ger,0,0,5,altnews
2012-07-05,ger,1,0,1,altnews
2012-07-12,ger,0,0,1,altnews
2012-07-12,ger,1,0,3,altnews
2012-07-19,ger,0,0,1,altnews
2012-07-19,ger,1,0,2,altnews
2012-07-26,ger,0,0,1,altnews
2012-07-26,ger,1,0,4,altnews
2012-08-02,ger,0,0,4,altnews
2012-08-02,ger,1,0,1,altnews
2012-08-09,ger,0,0,2,altnews
2012-08-09,ger,1,0,3,altnews
2012-08-16,ger,0,0,2,altnews
2012-08-16,ger,1,0,5,altnews
2012-08-23,ger,0,0,3,altnews
2012-08-23,ger,1,0,1,altnews
2012-08-30,ger,0,0,4,altnews
2012-08-30,ger,1,0,2,altnews
2012-09-06,ger,0,0,4,altnews
2012-09-06,ger,0,1,1,altnews
2012-09-06,ger,1,0,3,altnews
2012-09-13,ger,0,0,1,altnews
2012-09-13,ger,1,0,2,altnews
2012-09-27,ger,0,0,1,altnews
2012-09-27,ger,1,0,3,altnews
2012-10-04,ger,0,0,4,altnews
2012-10-11,ger,0,0,2,altnews
2012-10-11,ger,1,0,1,altnews
2012-10-18,ger,0,0,2,altnews
2012-10-18,ger,0,1,1,altnews
2012-10-18,ger,1,0,2,altnews
2012-10-25,ger,0,0,4,altnews
2012-10-25,ger,1,0,1,altnews
2012-11-01,ger,0,0,2,altnews
2012-11-01,ger,1,0,2,altnews
2012-11-08,ger,0,0,1,altnews
2012-11-08,ger,1,0,2,altnews
2012-11-15,ger,0,0,2,altnews
2012-11-15,ger,1,0,1,altnews
2012-11-22,ger,1,0,3,altnews
2012-11-29,ger,0,0,2,altnews
2012-12-06,ger,0,0,2,altnews
2012-12-06,ger,1,0,2,altnews
2012-12-13,ger,0,0,1,altnews
2012-12-13,ger,1,0,2,altnews
2012-12-20,ger,0,0,1,altnews
2012-12-20,ger,0,1,1,altnews
2012-12-20,ger,1,0,3,altnews
2013-01-03,ger,1,0,1,altnews
2013-01-10,ger,0,1,1,altnews
2013-01-10,ger,1,0,1,altnews
2013-01-17,ger,0,0,2,altnews
2013-01-24,ger,1,0,5,altnews
2013-01-31,ger,0,0,3,altnews
2013-01-31,ger,1,0,1,altnews
2013-02-07,ger,0,0,2,altnews
2013-02-07,ger,1,0,3,altnews
2013-02-14,ger,0,0,1,altnews
2013-02-14,ger,1,0,1,altnews
2013-02-21,ger,0,0,2,altnews
2013-02-21,ger,1,0,4,altnews
2013-02-28,ger,1,0,2,altnews
2013-02-28,ger,1,1,1,altnews
2013-03-07,ger,0,0,1,altnews
2013-03-07,ger,1,0,2,altnews
2013-03-14,ger,0,0,4,altnews
2013-03-21,ger,0,0,2,altnews
2013-03-21,ger,1,0,3,altnews
2013-03-28,ger,0,0,1,altnews
2013-03-28,ger,1,0,2,altnews
2013-04-04,ger,0,0,4,altnews
2013-04-04,ger,1,0,2,altnews
2013-04-11,ger,0,0,2,altnews
2013-04-11,ger,1,0,3,altnews
2013-04-18,ger,0,0,3,altnews
2013-04-18,ger,0,1,2,altnews
2013-04-25,ger,0,0,2,altnews
2013-04-25,ger,1,0,3,altnews
2013-05-02,ger,0,0,2,altnews
2013-05-02,ger,1,0,4,altnews
2013-05-09,ger,0,0,1,altnews
2013-05-09,ger,1,0,1,altnews
2013-05-16,ger,0,0,4,altnews
2013-05-16,ger,1,0,3,altnews
2013-05-23,ger,0,0,1,altnews
