date,lang,label_GR,v2_NWO,counts,platform
2015-03-09,eng,0,0,1,altnews
2015-03-31,eng,1,0,1,altnews
2015-04-03,eng,1,0,1,altnews
2015-04-06,eng,1,0,1,altnews
2015-04-07,eng,0,0,1,altnews
2015-04-09,eng,1,0,1,altnews
2015-04-30,eng,1,0,1,altnews
2015-05-11,eng,0,0,1,altnews
2015-05-14,eng,0,0,1,altnews
2015-05-26,eng,0,0,1,altnews
2015-05-29,eng,0,0,1,altnews
2015-06-03,eng,0,1,1,altnews
2015-06-22,eng,0,0,1,altnews
2015-07-01,eng,1,0,1,altnews
2015-07-07,eng,1,0,1,altnews
2015-07-17,eng,1,0,2,altnews
2015-07-28,eng,0,1,1,altnews
2015-07-29,eng,0,1,1,altnews
2015-07-30,eng,1,0,1,altnews
2015-08-03,eng,0,1,1,altnews
2015-08-11,eng,1,0,1,altnews
2015-08-18,eng,1,0,2,altnews
2015-08-21,eng,1,0,1,altnews
2015-08-25,eng,0,0,1,altnews
2015-08-28,eng,0,0,1,altnews
2015-08-31,eng,1,1,1,altnews
2015-09-01,eng,0,0,1,altnews
2015-09-02,eng,0,0,1,altnews
2015-09-08,eng,1,0,1,altnews
2015-09-09,eng,0,0,1,altnews
2015-09-14,eng,0,0,1,altnews
2015-09-15,eng,1,0,1,altnews
2015-09-18,eng,0,0,1,altnews
2015-09-18,eng,1,0,1,altnews
2015-09-19,eng,0,0,1,altnews
2015-09-24,eng,0,0,1,altnews
2015-09-24,eng,1,0,1,altnews
2015-09-29,eng,1,0,1,altnews
2015-10-06,eng,0,0,1,altnews
2015-10-07,eng,0,0,1,altnews
2015-10-16,eng,0,1,1,altnews
2015-10-21,eng,1,0,1,altnews
2015-10-22,eng,0,0,1,altnews
2015-10-26,eng,0,0,1,altnews
2015-11-13,eng,0,0,1,altnews
2015-11-15,eng,0,0,1,altnews
2015-11-21,eng,1,0,1,altnews
2015-11-28,eng,1,0,1,altnews
2015-11-30,eng,0,0,1,altnews
2015-12-01,eng,0,0,1,altnews
2015-12-01,eng,1,0,1,altnews
2015-12-02,eng,0,0,1,altnews
2015-12-04,eng,0,0,1,altnews
2015-12-08,eng,1,0,2,altnews
2015-12-14,eng,1,1,1,altnews
2015-12-29,eng,1,0,1,altnews
2016-01-03,eng,0,0,1,altnews
2016-01-05,eng,0,0,1,altnews
2016-01-13,eng,0,1,1,altnews
2016-01-22,eng,1,0,1,altnews
2016-01-25,eng,0,0,1,altnews
2016-02-12,eng,0,0,2,altnews
2016-03-07,eng,0,0,1,altnews
2016-03-12,eng,0,0,1,altnews
2016-03-17,eng,1,0,1,altnews
2016-04-03,eng,1,0,1,altnews
2016-04-04,eng,0,1,1,altnews
2016-04-05,eng,1,0,1,altnews
2016-04-06,eng,1,0,1,altnews
2016-04-11,eng,1,0,1,altnews
2016-04-14,eng,1,0,1,altnews
2016-04-18,eng,0,0,1,altnews
2016-04-19,eng,0,0,1,altnews
2016-04-21,eng,0,1,1,altnews
2016-05-05,eng,1,1,1,altnews
2016-05-09,eng,0,0,1,altnews
2016-05-10,eng,1,0,1,altnews
2016-05-11,eng,1,0,1,altnews
2016-05-12,eng,0,0,1,altnews
2016-05-12,eng,1,0,1,altnews
2016-05-17,eng,0,0,1,altnews
2016-06-03,eng,1,1,1,altnews
2016-06-06,eng,1,0,2,altnews
2016-06-07,eng,0,0,2,altnews
2016-06-15,eng,0,0,1,altnews
2016-06-18,eng,1,0,1,altnews
2016-06-21,eng,0,0,1,altnews
2016-06-29,eng,1,0,1,altnews
2016-06-30,eng,1,0,1,altnews
2016-07-07,eng,0,0,1,altnews
2016-07-09,eng,1,0,1,altnews
2016-07-21,eng,0,0,1,altnews
2016-07-22,eng,0,1,1,altnews
2016-07-22,eng,1,1,1,altnews
2016-07-25,eng,0,0,1,altnews
2016-08-05,eng,0,0,1,altnews
2016-08-09,eng,0,0,1,altnews
2016-08-16,eng,0,0,1,altnews
2016-08-16,eng,0,1,1,altnews
2016-08-17,eng,0,0,1,altnews
2016-08-23,eng,0,1,1,altnews
2016-08-25,eng,1,0,2,altnews
2016-08-26,eng,1,1,1,altnews
2016-09-01,eng,0,0,1,altnews
2016-09-06,eng,1,0,1,altnews
2016-09-07,eng,0,0,1,altnews
2016-09-08,eng,0,0,1,altnews
2016-09-08,eng,1,0,1,altnews
2016-09-13,eng,1,1,1,altnews
2016-09-15,eng,1,0,1,altnews
2016-09-20,eng,0,0,1,altnews
2016-09-20,eng,1,0,1,altnews
2016-09-26,eng,0,0,1,altnews
2016-10-11,eng,0,0,1,altnews
2016-10-13,eng,0,0,1,altnews
