date,lang,label_GR,v2_NWO,counts,platform
2011-01-03,eng,0,0,1,altnews
2011-01-05,eng,0,0,1,altnews
2011-01-06,eng,0,0,1,altnews
2011-01-10,eng,0,1,1,altnews
2011-01-13,eng,0,0,1,altnews
2011-01-14,eng,0,0,1,altnews
2011-01-17,eng,0,0,1,altnews
2011-01-18,eng,0,0,1,altnews
2011-01-19,eng,1,0,1,altnews
2011-01-20,eng,0,0,1,altnews
2011-01-20,eng,0,1,1,altnews
2011-01-28,eng,0,0,1,altnews
2011-01-31,eng,0,0,1,altnews
2011-02-02,eng,0,0,1,altnews
2011-02-08,eng,0,0,1,altnews
2011-02-08,eng,0,1,1,altnews
2011-02-09,eng,0,0,1,altnews
2011-02-15,eng,0,0,1,altnews
2011-02-18,eng,1,1,1,altnews
2011-02-21,eng,0,1,1,altnews
2011-02-23,eng,1,1,1,altnews
2011-03-01,eng,1,1,1,altnews
2011-03-08,eng,0,0,2,altnews
2011-03-08,eng,1,0,1,altnews
2011-03-10,eng,0,0,1,altnews
2011-03-14,eng,1,0,1,altnews
2011-03-16,eng,0,0,1,altnews
2011-03-17,eng,0,1,1,altnews
2011-03-23,eng,0,1,1,altnews
2011-03-24,eng,0,0,1,altnews
2011-03-25,eng,0,0,1,altnews
2011-03-31,eng,0,0,1,altnews
2011-04-04,eng,0,0,1,altnews
2011-04-08,eng,0,1,1,altnews
2011-04-20,eng,0,0,1,altnews
2011-05-01,eng,0,0,1,altnews
2011-05-01,eng,1,0,1,altnews
2011-05-02,eng,0,0,7,altnews
2011-05-03,eng,0,0,8,altnews
2011-05-13,eng,0,0,1,altnews
2011-05-13,eng,1,0,1,altnews
2011-05-19,eng,0,0,1,altnews
2011-05-20,eng,0,0,1,altnews
2011-05-25,eng,0,0,1,altnews
2011-06-02,eng,0,0,1,altnews
2011-06-13,eng,1,0,1,altnews
2011-06-23,eng,0,0,1,altnews
2011-07-01,eng,0,0,2,altnews
2011-07-05,eng,0,0,1,altnews
2011-07-12,eng,0,0,1,altnews
