date,lang,label_GR,v2_NWO,subplatform,counts,platform
2011-01-01,eng,0,0,WP,3,legnews
2011-01-02,eng,1,0,WP,1,legnews
2011-01-04,eng,0,0,WP,2,legnews
2011-01-05,eng,0,0,WP,1,legnews
2011-01-06,eng,0,0,WP,5,legnews
2011-01-06,eng,1,0,WP,1,legnews
2011-01-07,eng,0,0,WP,8,legnews
2011-01-08,eng,0,0,WP,1,legnews
2011-01-09,eng,0,0,WP,5,legnews
2011-01-09,eng,1,0,WP,1,legnews
2011-01-11,eng,0,0,WP,1,legnews
2011-01-12,eng,0,0,WP,1,legnews
2011-01-13,eng,0,0,WP,5,legnews
2011-01-14,eng,0,0,WP,6,legnews
2011-01-16,eng,0,0,WP,3,legnews
2011-01-17,eng,1,0,WP,1,legnews
2011-01-18,eng,0,0,WP,2,legnews
2011-01-19,eng,0,0,WP,1,legnews
2011-01-20,eng,0,0,WP,7,legnews
2011-01-20,eng,1,0,WP,1,legnews
2011-01-21,eng,0,0,WP,2,legnews
2011-01-22,eng,0,0,WP,3,legnews
2011-01-23,eng,0,0,WP,6,legnews
2011-01-24,eng,0,0,WP,2,legnews
2011-01-25,eng,0,0,WP,3,legnews
2011-01-26,eng,0,0,WP,1,legnews
2011-01-26,eng,1,0,WP,1,legnews
2011-01-27,eng,0,0,WP,3,legnews
2011-01-27,eng,0,1,WP,1,legnews
2011-01-28,eng,0,0,WP,3,legnews
2011-01-29,eng,0,0,WP,1,legnews
2011-01-30,eng,0,0,WP,9,legnews
2011-01-30,eng,0,1,WP,1,legnews
2011-01-31,eng,0,0,WP,2,legnews
2011-02-01,eng,0,0,WP,3,legnews
2011-02-01,eng,1,0,WP,1,legnews
2011-02-02,eng,0,0,WP,2,legnews
2011-02-02,eng,1,0,WP,1,legnews
2011-02-03,eng,0,0,WP,6,legnews
2011-02-03,eng,1,0,WP,1,legnews
2011-02-04,eng,0,0,WP,2,legnews
2011-02-04,eng,1,0,WP,1,legnews
2011-02-06,eng,0,0,WP,5,legnews
2011-02-07,eng,0,0,WP,1,legnews
2011-02-07,eng,1,0,WP,1,legnews
2011-02-08,eng,0,0,WP,2,legnews
2011-02-09,eng,0,0,WP,1,legnews
2011-02-10,eng,0,0,WP,8,legnews
2011-02-11,eng,0,0,WP,7,legnews
2011-02-12,eng,0,0,WP,1,legnews
2011-02-13,eng,0,0,WP,1,legnews
2011-02-14,eng,0,0,WP,2,legnews
2011-02-15,eng,0,0,WP,3,legnews
2011-02-17,eng,0,0,WP,9,legnews
2011-02-17,eng,0,1,WP,1,legnews
2011-02-18,eng,0,0,WP,3,legnews
2011-02-19,eng,0,0,WP,3,legnews
2011-02-20,eng,0,0,WP,2,legnews
2011-02-22,eng,0,0,WP,3,legnews
2011-02-23,eng,0,0,WP,2,legnews
2011-02-24,eng,0,0,WP,5,legnews
2011-02-25,eng,0,0,WP,2,legnews
2011-02-25,eng,1,1,WP,1,legnews
2011-02-27,eng,0,0,WP,3,legnews
2011-02-27,eng,0,1,WP,1,legnews
2011-02-28,eng,0,0,WP,1,legnews
2011-03-01,eng,0,0,WP,1,legnews
2011-03-01,eng,1,0,WP,1,legnews
2011-03-02,eng,1,0,WP,1,legnews
2011-03-03,eng,0,0,WP,8,legnews
2011-03-04,eng,0,0,WP,4,legnews
2011-03-06,eng,0,0,WP,5,legnews
2011-03-06,eng,1,0,WP,2,legnews
2011-03-07,eng,0,0,WP,3,legnews
2011-03-08,eng,0,0,WP,2,legnews
2011-03-09,eng,0,0,WP,3,legnews
2011-03-10,eng,0,0,WP,6,legnews
2011-03-11,eng,0,0,WP,2,legnews
2011-03-12,eng,0,0,WP,3,legnews
2011-03-13,eng,1,0,WP,1,legnews
2011-03-15,eng,0,0,WP,3,legnews
2011-03-16,eng,0,0,WP,1,legnews
2011-03-17,eng,0,0,WP,6,legnews
2011-03-18,eng,0,0,WP,2,legnews
2011-03-19,eng,0,0,WP,1,legnews
2011-03-19,eng,1,0,WP,1,legnews
2011-03-20,eng,0,0,WP,2,legnews
2011-03-22,eng,0,0,WP,3,legnews
2011-03-24,eng,0,0,WP,9,legnews
2011-03-25,eng,0,0,WP,5,legnews
2011-03-26,eng,0,0,WP,1,legnews
2011-03-26,eng,1,0,WP,1,legnews
2011-03-29,eng,0,0,WP,1,legnews
2011-03-30,eng,0,0,WP,4,legnews
2011-03-31,eng,0,0,WP,7,legnews
2011-04-01,eng,0,0,WP,7,legnews
2011-04-02,eng,0,0,WP,1,legnews
2011-04-02,eng,1,0,WP,1,legnews
2011-04-03,eng,0,0,WP,3,legnews
2011-04-03,eng,0,1,WP,1,legnews
2011-04-04,eng,1,0,WP,1,legnews
2011-04-05,eng,0,0,WP,3,legnews
2011-04-05,eng,1,0,WP,1,legnews
2011-04-06,eng,0,0,WP,1,legnews
2011-04-06,eng,1,0,WP,1,legnews
2011-04-07,eng,0,0,WP,7,legnews
2011-04-07,eng,0,1,WP,2,legnews
2011-04-08,eng,0,0,WP,1,legnews
2011-04-09,eng,0,0,WP,2,legnews
2011-04-10,eng,0,0,WP,1,legnews
2011-04-10,eng,1,0,WP,1,legnews
2011-04-11,eng,0,0,WP,2,legnews
2011-04-12,eng,0,0,WP,2,legnews
2011-04-13,eng,0,0,WP,4,legnews
2011-04-13,eng,0,1,WP,1,legnews
2011-04-14,eng,0,0,WP,5,legnews
2011-04-15,eng,0,0,WP,5,legnews
2011-04-16,eng,0,0,WP,3,legnews
2011-04-17,eng,0,0,WP,3,legnews
2011-04-18,eng,0,0,WP,2,legnews
2011-04-20,eng,0,0,WP,1,legnews
2011-04-21,eng,0,0,WP,7,legnews
2011-04-21,eng,1,0,WP,1,legnews
2011-04-22,eng,0,0,WP,5,legnews
2011-04-22,eng,1,0,WP,1,legnews
2011-04-24,eng,0,0,WP,4,legnews
2011-04-24,eng,1,0,WP,1,legnews
2011-04-25,eng,0,0,WP,2,legnews
2011-04-25,eng,1,0,WP,1,legnews
2011-04-26,eng,0,0,WP,3,legnews
2011-04-26,eng,1,0,WP,1,legnews
2011-04-28,eng,0,0,WP,6,legnews
2011-04-29,eng,0,0,WP,6,legnews
2011-04-30,eng,0,0,WP,1,legnews
2011-05-01,eng,0,0,WP,7,legnews
2011-05-02,eng,0,0,WP,5,legnews
2011-05-02,eng,1,0,WP,1,legnews
2011-05-03,eng,0,0,WP,5,legnews
2011-05-03,eng,1,0,WP,2,legnews
2011-05-04,eng,0,0,WP,4,legnews
2011-05-05,eng,0,0,WP,9,legnews
2011-05-06,eng,0,0,WP,7,legnews
2011-05-06,eng,1,0,WP,1,legnews
2011-05-07,eng,0,0,WP,2,legnews
2011-05-08,eng,0,0,WP,6,legnews
2011-05-09,eng,0,0,WP,1,legnews
2011-05-10,eng,0,0,WP,2,legnews
2011-05-11,eng,0,0,WP,4,legnews
2011-05-11,eng,1,0,WP,1,legnews
2011-05-12,eng,0,0,WP,7,legnews
2011-05-12,eng,1,0,WP,1,legnews
2011-05-13,eng,0,0,WP,5,legnews
2011-05-14,eng,0,0,WP,1,legnews
2011-05-15,eng,0,0,WP,1,legnews
2011-05-15,eng,1,0,WP,1,legnews
2011-05-16,eng,0,0,WP,2,legnews
2011-05-17,eng,0,0,WP,4,legnews
2011-05-18,eng,0,0,WP,2,legnews
2011-05-18,eng,1,0,WP,1,legnews
2011-05-19,eng,0,0,WP,11,legnews
2011-05-19,eng,1,0,WP,1,legnews
2011-05-20,eng,0,0,WP,1,legnews
