date,lang,label_GR,v2_NWO,subplatform,counts,platform
2011-03-18,ger,0,0,SZ,1,legnews
2011-03-19,ger,0,0,SZ,2,legnews
2011-03-21,ger,0,0,SZ,2,legnews
2011-03-21,ger,1,0,SZ,1,legnews
2011-03-22,ger,0,0,SZ,1,legnews
2011-03-22,ger,1,0,SZ,1,legnews
2011-03-23,ger,0,0,SZ,2,legnews
2011-03-24,ger,0,0,SZ,2,legnews
2011-03-24,ger,1,0,SZ,1,legnews
2011-03-25,ger,1,0,SZ,2,legnews
2011-03-26,ger,0,0,SZ,2,legnews
2011-03-26,ger,1,0,SZ,1,legnews
2011-03-29,ger,0,0,SZ,3,legnews
2011-03-30,ger,0,0,SZ,4,legnews
2011-03-30,ger,1,0,SZ,2,legnews
2011-03-31,ger,0,0,SZ,7,legnews
2011-03-31,ger,1,0,SZ,1,legnews
2011-04-01,ger,0,0,SZ,4,legnews
2011-04-02,ger,0,0,SZ,6,legnews
2011-04-02,ger,1,0,SZ,3,legnews
2011-04-04,ger,0,0,SZ,2,legnews
2011-04-05,ger,0,0,SZ,5,legnews
2011-04-05,ger,1,0,SZ,1,legnews
2011-04-06,ger,0,0,SZ,3,legnews
2011-04-07,ger,0,0,SZ,1,legnews
2011-04-07,ger,1,0,SZ,1,legnews
2011-04-08,ger,0,0,SZ,1,legnews
2011-04-08,ger,1,0,SZ,1,legnews
2011-04-09,ger,0,0,SZ,2,legnews
2011-04-11,ger,0,0,SZ,2,legnews
2011-04-12,ger,0,0,SZ,1,legnews
2011-04-12,ger,0,1,SZ,1,legnews
2011-04-13,ger,0,0,SZ,5,legnews
2011-04-14,ger,0,0,SZ,3,legnews
2011-04-15,ger,0,0,SZ,4,legnews
2011-04-16,ger,0,0,SZ,3,legnews
2011-04-18,ger,0,0,SZ,2,legnews
2011-04-18,ger,1,0,SZ,1,legnews
2011-04-19,ger,0,0,SZ,1,legnews
2011-04-19,ger,1,0,SZ,1,legnews
2011-04-20,ger,1,0,SZ,1,legnews
2011-04-21,ger,0,0,SZ,2,legnews
2011-04-21,ger,1,0,SZ,1,legnews
2011-04-23,ger,0,0,SZ,1,legnews
2011-04-26,ger,0,0,SZ,5,legnews
2011-04-27,ger,0,0,SZ,2,legnews
2011-04-27,ger,1,0,SZ,1,legnews
2011-04-28,ger,0,0,SZ,4,legnews
2011-04-29,ger,0,0,SZ,4,legnews
2011-04-30,ger,0,0,SZ,3,legnews
2011-04-30,ger,1,0,SZ,1,legnews
2011-05-02,ger,0,0,SZ,2,legnews
2011-05-03,ger,0,0,SZ,6,legnews
2011-05-03,ger,1,0,SZ,3,legnews
2011-05-04,ger,0,0,SZ,1,legnews
2011-05-06,ger,0,0,SZ,3,legnews
2011-05-06,ger,1,0,SZ,2,legnews
2011-05-07,ger,0,0,SZ,6,legnews
2011-05-09,ger,0,0,SZ,3,legnews
2011-05-10,ger,0,0,SZ,1,legnews
2011-05-11,ger,0,0,SZ,3,legnews
2011-05-11,ger,1,0,SZ,1,legnews
2011-05-12,ger,0,0,SZ,1,legnews
2011-05-13,ger,0,0,SZ,1,legnews
2011-05-13,ger,1,0,SZ,2,legnews
2011-05-14,ger,0,0,SZ,1,legnews
2011-05-14,ger,1,0,SZ,1,legnews
2011-05-16,ger,0,0,SZ,2,legnews
2011-05-17,ger,0,0,SZ,1,legnews
2011-05-17,ger,0,1,SZ,1,legnews
2011-05-18,ger,0,0,SZ,5,legnews
2011-05-18,ger,1,0,SZ,1,legnews
2011-05-19,ger,0,0,SZ,6,legnews
2011-05-19,ger,1,0,SZ,5,legnews
2011-05-20,ger,0,0,SZ,2,legnews
2011-05-20,ger,1,0,SZ,1,legnews
2011-05-21,ger,0,0,SZ,18,legnews
2011-05-21,ger,1,0,SZ,4,legnews
2011-05-23,ger,0,0,SZ,12,legnews
2011-05-23,ger,1,0,SZ,5,legnews
2011-05-24,ger,0,0,SZ,12,legnews
2011-05-24,ger,1,0,SZ,4,legnews
2011-05-25,ger,0,0,SZ,10,legnews
2011-05-25,ger,1,0,SZ,2,legnews
2011-05-26,ger,0,0,SZ,12,legnews
2011-05-26,ger,1,0,SZ,2,legnews
2011-05-27,ger,0,0,SZ,15,legnews
2011-05-27,ger,1,0,SZ,6,legnews
2011-05-28,ger,0,0,SZ,9,legnews
2011-05-28,ger,1,0,SZ,4,legnews
2011-05-30,ger,0,0,SZ,2,legnews
2011-05-30,ger,1,0,SZ,1,legnews
2011-05-31,ger,0,0,SZ,1,legnews
2011-06-01,ger,0,0,SZ,1,legnews
2011-06-03,ger,0,0,SZ,2,legnews
2011-06-03,ger,1,0,SZ,1,legnews
2011-06-04,ger,0,0,SZ,9,legnews
2011-06-04,ger,1,0,SZ,2,legnews
2011-06-06,ger,1,0,SZ,1,legnews
2011-06-07,ger,1,0,SZ,1,legnews
2011-06-08,ger,0,0,SZ,1,legnews
2011-06-08,ger,1,0,SZ,1,legnews
2011-06-09,ger,0,0,SZ,1,legnews
2011-06-10,ger,0,0,SZ,4,legnews
2011-06-11,ger,0,0,SZ,1,legnews
2011-06-14,ger,0,0,SZ,6,legnews
2011-06-14,ger,1,0,SZ,1,legnews
