date,lang,label_GR,v2_NWO,counts,platform
2012-03-10,eng,0,0,218,twitter
2012-03-10,eng,0,1,147,twitter
2012-03-10,eng,1,0,50,twitter
2012-03-10,eng,1,1,4,twitter
2012-03-11,eng,0,0,282,twitter
2012-03-11,eng,0,1,103,twitter
2012-03-11,eng,1,0,69,twitter
2012-03-20,eng,0,0,268,twitter
2012-03-20,eng,0,1,155,twitter
2012-03-20,eng,1,0,64,twitter
2012-03-20,eng,1,1,1,twitter
2012-03-21,eng,0,0,283,twitter
2012-03-21,eng,0,1,85,twitter
2012-03-21,eng,1,0,114,twitter
2012-03-21,eng,1,1,2,twitter
2012-03-22,eng,0,0,169,twitter
2012-03-22,eng,0,1,273,twitter
2012-03-22,eng,1,0,50,twitter
2012-03-22,eng,1,1,5,twitter
2012-03-23,eng,0,0,297,twitter
2012-03-23,eng,0,1,132,twitter
2012-03-23,eng,1,0,80,twitter
2012-03-23,eng,1,1,1,twitter
2012-03-24,eng,0,0,334,twitter
2012-03-24,eng,0,1,128,twitter
2012-03-24,eng,1,0,107,twitter
2012-03-24,eng,1,1,3,twitter
2012-03-25,eng,0,0,246,twitter
2012-03-25,eng,0,1,88,twitter
2012-03-25,eng,1,0,70,twitter
2012-03-25,eng,1,1,3,twitter
2012-03-26,eng,0,0,272,twitter
2012-03-26,eng,0,1,102,twitter
2012-03-26,eng,1,0,87,twitter
2012-03-26,eng,1,1,3,twitter
2012-03-27,eng,0,0,311,twitter
2012-03-27,eng,0,1,95,twitter
2012-03-27,eng,1,0,88,twitter
2012-03-28,eng,0,0,308,twitter
2012-03-28,eng,0,1,94,twitter
2012-03-28,eng,1,0,78,twitter
2012-03-28,eng,1,1,2,twitter
2012-03-29,eng,0,0,292,twitter
2012-03-29,eng,0,1,109,twitter
2012-03-29,eng,1,0,84,twitter
2012-03-29,eng,1,1,4,twitter
2012-03-30,eng,0,0,367,twitter
2012-03-30,eng,0,1,74,twitter
2012-03-30,eng,1,0,47,twitter
2012-03-31,eng,0,0,335,twitter
2012-03-31,eng,0,1,88,twitter
2012-03-31,eng,1,0,66,twitter
2012-03-31,eng,1,1,1,twitter
2012-04-01,eng,0,0,254,twitter
2012-04-01,eng,0,1,126,twitter
2012-04-01,eng,1,0,108,twitter
2012-04-01,eng,1,1,7,twitter
2012-04-02,eng,0,0,294,twitter
2012-04-02,eng,0,1,121,twitter
2012-04-02,eng,1,0,55,twitter
2012-04-02,eng,1,1,2,twitter
2012-04-03,eng,0,0,357,twitter
2012-04-03,eng,0,1,101,twitter
2012-04-03,eng,1,0,93,twitter
2012-04-03,eng,1,1,1,twitter
2012-04-04,eng,0,0,259,twitter
2012-04-04,eng,0,1,104,twitter
2012-04-04,eng,1,0,62,twitter
2012-04-04,eng,1,1,2,twitter
2012-04-05,eng,0,0,370,twitter
2012-04-05,eng,0,1,39,twitter
2012-04-05,eng,1,0,81,twitter
2012-04-05,eng,1,1,1,twitter
2012-04-06,eng,0,0,343,twitter
2012-04-06,eng,0,1,57,twitter
2012-04-06,eng,1,0,82,twitter
2012-04-06,eng,1,1,2,twitter
2012-04-07,eng,0,0,253,twitter
2012-04-07,eng,0,1,19,twitter
2012-04-07,eng,1,0,69,twitter
