date,lang,label_GR,v2_NWO,counts,platform
2015-12-02,ger,0,0,208,twitter
2015-12-02,ger,0,1,18,twitter
2015-12-02,ger,1,0,121,twitter
2015-12-03,ger,0,0,261,twitter
2015-12-03,ger,0,1,23,twitter
2015-12-03,ger,1,0,198,twitter
2015-12-04,ger,0,0,263,twitter
2015-12-04,ger,0,1,18,twitter
2015-12-04,ger,1,0,193,twitter
2015-12-05,ger,0,0,176,twitter
2015-12-05,ger,0,1,43,twitter
2015-12-05,ger,1,0,103,twitter
2015-12-06,ger,0,0,196,twitter
2015-12-06,ger,0,1,20,twitter
2015-12-06,ger,1,0,137,twitter
2015-12-07,ger,0,0,427,twitter
2015-12-07,ger,0,1,20,twitter
2015-12-07,ger,1,0,297,twitter
2015-12-07,ger,1,1,1,twitter
2015-12-08,ger,0,0,331,twitter
2015-12-08,ger,0,1,26,twitter
2015-12-08,ger,1,0,245,twitter
2015-12-08,ger,1,1,1,twitter
2015-12-09,ger,0,0,295,twitter
2015-12-09,ger,0,1,18,twitter
2015-12-09,ger,1,0,226,twitter
2015-12-10,ger,0,0,162,twitter
2015-12-10,ger,0,1,12,twitter
2015-12-10,ger,1,0,195,twitter
2015-12-10,ger,1,1,1,twitter
2015-12-11,ger,0,0,205,twitter
2015-12-11,ger,0,1,15,twitter
2015-12-11,ger,1,0,137,twitter
2015-12-11,ger,1,1,1,twitter
2015-12-12,ger,0,0,223,twitter
2015-12-12,ger,0,1,20,twitter
2015-12-12,ger,1,0,272,twitter
2015-12-12,ger,1,1,1,twitter
2015-12-13,ger,0,0,272,twitter
2015-12-13,ger,0,1,14,twitter
2015-12-13,ger,1,0,243,twitter
2015-12-14,ger,0,0,415,twitter
2015-12-14,ger,0,1,16,twitter
2015-12-14,ger,1,0,282,twitter
2015-12-14,ger,1,1,2,twitter
2015-12-15,ger,0,0,306,twitter
2015-12-15,ger,0,1,21,twitter
2015-12-15,ger,1,0,219,twitter
2015-12-15,ger,1,1,1,twitter
2015-12-16,ger,0,0,318,twitter
2015-12-16,ger,0,1,23,twitter
2015-12-16,ger,1,0,208,twitter
2015-12-16,ger,1,1,1,twitter
2015-12-17,ger,0,0,233,twitter
2015-12-17,ger,0,1,16,twitter
2015-12-17,ger,1,0,176,twitter
2015-12-18,ger,0,0,249,twitter
2015-12-18,ger,0,1,19,twitter
2015-12-18,ger,1,0,223,twitter
2015-12-18,ger,1,1,1,twitter
2015-12-19,ger,0,0,138,twitter
2015-12-19,ger,0,1,19,twitter
2015-12-19,ger,1,0,79,twitter
2015-12-20,ger,0,0,151,twitter
2015-12-20,ger,0,1,9,twitter
2015-12-20,ger,1,0,134,twitter
2015-12-21,ger,0,0,616,twitter
2015-12-21,ger,0,1,23,twitter
2015-12-21,ger,1,0,463,twitter
2015-12-21,ger,1,1,1,twitter
